order,Delay,Test.Time,Participant.Private.ID,lure_word,original_response,lure_recalled
533,delay,AM,8208996,city,NA,0
534,delay,AM,8208996,cup,cup,1
535,delay,AM,8208996,cold,cold,1
536,delay,AM,8208996,mountain,mountain,1
537,delay,AM,8208996,slow,NA,0
538,delay,AM,8208996,river,NA,0
539,delay,AM,8208996,spider,NA,0
540,delay,AM,8208996,foot,NA,0
541,delay,AM,8208934,window,NA,0
542,delay,AM,8208934,sleep,NA,0
543,delay,AM,8208934,doctor,doctor,1
544,delay,AM,8208934,smell,smell,1
545,delay,AM,8208934,chair,chair,1
546,delay,AM,8208934,smoke,NA,0
547,delay,AM,8208934,sweet,NA,0
548,delay,AM,8208934,rough,NA,0
549,delay,AM,8208934,needle,NA,0
550,delay,AM,8208934,rubbish,NA,0
551,delay,AM,8208934,anger,NA,0
552,delay,AM,8208934,soft,NA,0
553,delay,AM,8208934,city,NA,0
554,delay,AM,8208934,cup,cup,1
555,delay,AM,8208934,cold,cold,1
556,delay,AM,8208934,mountain,NA,0
557,delay,AM,8208934,slow,NA,0
558,delay,AM,8208934,river,NA,0
559,delay,AM,8208934,spider,spider,1
560,delay,AM,8208934,foot,NA,0
561,delay,AM,8194969,window,NA,0
562,delay,AM,8194969,sleep,NA,0
563,delay,AM,8194969,doctor,NA,0
564,delay,AM,8194969,smell,smell,1
565,delay,AM,8194969,chair,chair,1
566,delay,AM,8194969,smoke,NA,0
567,delay,AM,8194969,sweet,NA,0
568,delay,AM,8194969,rough,NA,0
569,delay,AM,8194969,needle,NA,0
570,delay,AM,8194969,rubbish,NA,0
571,delay,AM,8194969,anger,NA,0
572,delay,AM,8194969,soft,NA,0
573,delay,AM,8194969,city,NA,0
574,delay,AM,8194969,cup,NA,0
575,delay,AM,8194969,cold,NA,0
576,delay,AM,8194969,mountain,mountain,1
577,delay,AM,8194969,slow,NA,0
578,delay,AM,8194969,river,river,1
579,delay,AM,8194969,spider,NA,0
580,delay,AM,8194969,foot,NA,0
581,delay,AM,8190906,window,NA,0
582,delay,AM,8190906,sleep,sleep,1
583,delay,AM,8190906,doctor,NA,0
584,delay,AM,8190906,smell,NA,0
585,delay,AM,8190906,chair,NA,0
586,delay,AM,8190906,smoke,NA,0
587,delay,AM,8190906,sweet,NA,0
588,delay,AM,8190906,rough,NA,0
589,delay,AM,8190906,needle,needle,1
590,delay,AM,8190906,rubbish,NA,0
591,delay,AM,8190906,anger,NA,0
592,delay,AM,8190906,soft,NA,0
593,delay,AM,8190906,city,city,1
594,delay,AM,8190906,cup,NA,0
595,delay,AM,8190906,cold,NA,0
596,delay,AM,8190906,mountain,NA,0
597,delay,AM,8190906,slow,NA,0
598,delay,AM,8190906,river,NA,0
599,delay,AM,8190906,spider,NA,0
600,delay,AM,8190906,foot,NA,0
601,delay,AM,8180170,window,NA,0
602,delay,AM,8180170,sleep,NA,0
603,delay,AM,8180170,doctor,NA,0
604,delay,AM,8180170,smell,NA,0
605,delay,AM,8180170,chair,NA,0
606,delay,AM,8180170,smoke,NA,0
607,delay,AM,8180170,sweet,NA,0
608,delay,AM,8180170,rough,NA,0
609,delay,AM,8180170,needle,NA,0
610,delay,AM,8180170,rubbish,NA,0
611,delay,AM,8180170,anger,NA,0
612,delay,AM,8180170,soft,NA,0
613,delay,AM,8180170,city,NA,0
614,delay,AM,8180170,cup,NA,0
615,delay,AM,8180170,cold,NA,0
616,delay,AM,8180170,mountain,NA,0
617,delay,AM,8180170,slow,NA,0
618,delay,AM,8180170,river,river,1
619,delay,AM,8180170,spider,NA,0
620,delay,AM,8180170,foot,NA,0
621,delay,AM,8180202,window,NA,0
622,delay,AM,8180202,sleep,NA,0
623,delay,AM,8180202,doctor,NA,0
624,delay,AM,8180202,smell,NA,0
625,delay,AM,8180202,chair,NA,0
626,delay,AM,8180202,smoke,NA,0
627,delay,AM,8180202,sweet,NA,0
628,delay,AM,8180202,rough,NA,0
629,delay,AM,8180202,needle,NA,0
630,delay,AM,8180202,rubbish,NA,0
631,delay,AM,8180202,anger,NA,0
632,delay,AM,8180202,soft,NA,0
633,delay,AM,8180202,city,NA,0
634,delay,AM,8180202,cup,NA,0
635,delay,AM,8180202,cold,NA,0
636,delay,AM,8180202,mountain,NA,0
637,delay,AM,8180202,slow,NA,0
638,delay,AM,8180202,river,NA,0
639,delay,AM,8180202,spider,NA,0
640,delay,AM,8180202,foot,NA,0
641,delay,AM,8179570,window,NA,0
642,delay,AM,8179570,sleep,NA,0
643,delay,AM,8179570,doctor,NA,0
644,delay,AM,8179570,smell,NA,0
645,delay,AM,8179570,chair,NA,0
646,delay,AM,8179570,smoke,NA,0
647,delay,AM,8179570,sweet,NA,0
648,delay,AM,8179570,rough,NA,0
649,delay,AM,8179570,needle,NA,0
650,delay,AM,8179570,rubbish,NA,0
651,delay,AM,8179570,anger,NA,0
652,delay,AM,8179570,soft,NA,0
653,delay,AM,8179570,city,NA,0
654,delay,AM,8179570,cup,NA,0
655,delay,AM,8179570,cold,NA,0
656,delay,AM,8179570,mountain,NA,0
657,delay,AM,8179570,slow,NA,0
658,delay,AM,8179570,river,NA,0
659,delay,AM,8179570,spider,NA,0
660,delay,AM,8179570,foot,NA,0
661,delay,AM,8168749,window,window,1
662,delay,AM,8168749,sleep,NA,0
663,delay,AM,8168749,doctor,doctor,1
664,delay,AM,8168749,smell,smell,1
665,delay,AM,8168749,chair,NA,0
666,delay,AM,8168749,smoke,smoke,1
667,delay,AM,8168749,sweet,sweet,1
668,delay,AM,8168749,rough,NA,0
669,delay,AM,8168749,needle,NA,0
670,delay,AM,8168749,rubbish,NA,0
671,delay,AM,8168749,anger,NA,0
672,delay,AM,8168749,soft,NA,0
673,delay,AM,8168749,city,NA,0
674,delay,AM,8168749,cup,NA,0
675,delay,AM,8168749,cold,NA,0
676,delay,AM,8168749,mountain,NA,0
677,delay,AM,8168749,slow,NA,0
678,delay,AM,8168749,river,NA,0
679,delay,AM,8168749,spider,NA,0
680,delay,AM,8168749,foot,foot,1
681,delay,AM,8152830,window,NA,0
682,delay,AM,8152830,sleep,NA,0
